,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
416,Luis Rioja\Luis-Rioja,es ESP,MFDF,Alavés,27-104,1993,18,15,1221,13.6,1,1,0,0,3,0,0.07,0.07,0.15,0.07,0.15,1.6,1.6,1.6,0.12,0.12,0.23,0.12,0.23,Matches
417,Rober\Rober,es ESP,DF,Levante,25-347,1995,5,3,312,3.5,0,1,0,0,2,1,0.00,0.29,0.29,0.00,0.29,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
418,Roberto\Roberto,es ESP,GK,Valladolid,34-353,1986,6,6,540,6.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
419,Sergi Roberto\Sergi-Roberto,es ESP,DF,Barcelona,28-356,1992,7,7,626,7.0,1,2,0,0,1,0,0.14,0.29,0.43,0.14,0.43,0.4,0.4,1.6,0.06,0.23,0.30,0.06,0.30,Matches
420,Joel Robles\Joel-Robles,es ESP,GK,Betis,30-225,1990,11,11,990,11.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
421,Rubén Rochina\Ruben-Rochina,es ESP,MF,Levante,29-311,1991,12,9,701,7.8,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.0,0.13,0.12,0.26,0.13,0.26,Matches
422,Rodrigo\Rodrigo,es ESP,FWMF,Betis,20-257,2000,8,2,276,3.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.03,0.14,0.17,0.03,0.17,Matches
423,Kévin Rodrigues\Kevin-Rodrigues,pt POR,DFMF,Eibar,26-329,1994,12,8,768,8.5,1,1,0,0,1,0,0.12,0.12,0.23,0.12,0.23,0.3,0.3,0.3,0.03,0.03,0.07,0.03,0.07,Matches
424,Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MFFW,Sevilla,22-214,1998,11,2,260,2.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.11,0.12,0.23,0.11,0.23,Matches
425,Ángel Rodríguez\Angel-Rodriguez,es ESP,FW,Getafe,33-277,1987,18,7,903,10.0,5,0,1,1,3,0,0.50,0.00,0.50,0.40,0.40,3.0,2.3,0.5,0.30,0.05,0.36,0.23,0.28,Matches
426,Guido Rodríguez\Guido-Rodriguez,ar ARG,MF,Betis,26-291,1994,18,18,1464,16.3,1,0,0,0,6,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.5,0.05,0.03,0.08,0.05,0.08,Matches
427,Miguel Rodríguez\Miguel-Rodriguez,es ESP,FWMF,Celta Vigo,17-274,2003,4,0,30,0.3,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
428,Víctor Rodríguez\Victor-Rodriguez,es ESP,MF,Elche,31-189,1989,8,2,298,3.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.00,0.13,0.13,0.00,0.13,Matches
429,Rodrygo\Rodrygo,br BRA,FW,Real Madrid,20-019,2001,11,4,423,4.7,0,4,0,0,0,0,0.00,0.85,0.85,0.00,0.85,1.0,1.0,2.1,0.22,0.46,0.68,0.22,0.68,Matches
430,Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Osasuna,33-353,1987,15,13,1126,12.5,1,1,0,0,3,1,0.08,0.08,0.16,0.08,0.16,0.3,0.3,0.1,0.03,0.01,0.04,0.03,0.04,Matches
431,Rubén\Ruben,es ESP,GKMF,Osasuna,36-220,1984,3,3,187,2.1,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
432,Waldo Rubio\Waldo-Rubio,es ESP,FW,Valladolid,25-164,1995,7,5,345,3.8,1,0,1,1,1,0,0.26,0.00,0.26,0.00,0.00,1.0,0.3,0.0,0.27,0.00,0.27,0.07,0.07,Matches
433,Aitor Ruibal\Aitor-Ruibal,es ESP,FWMF,Betis,24-312,1996,13,9,736,8.2,1,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,0.6,0.6,1.5,0.07,0.19,0.26,0.07,0.26,Matches
434,Ismael Ruiz\Ismael-Ruiz,es ESP,MF,Granada,19-349,2001,1,1,67,0.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
435,Víctor Ruiz\Victor-Ruiz,es ESP,DF,Betis,32-003,1989,13,10,955,10.6,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
436,Modibo Sagnan\Modibo-Sagnan,ml MLI,DF,Real Sociedad,21-289,1999,10,6,488,5.4,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.08,0.03,0.11,0.08,0.11,Matches
437,Borja Sainz\Borja-Sainz,es ESP,MFFW,Alavés,19-362,2001,15,2,361,4.0,1,0,0,0,1,0,0.25,0.00,0.25,0.25,0.25,1.1,1.1,0.4,0.27,0.09,0.36,0.27,0.36,Matches
438,Salvi\Salvi,es ESP,MFFW,Cádiz,29-304,1991,15,13,1008,11.2,2,0,0,0,2,0,0.18,0.00,0.18,0.18,0.18,1.6,1.6,0.6,0.14,0.05,0.20,0.14,0.20,Matches
439,Fede San Emeterio\Fede-San-Emeterio,es ESP,MF,Valladolid,23-318,1997,15,13,1053,11.7,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,Matches
440,Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Betis,24-330,1996,16,10,932,10.4,3,0,0,0,2,0,0.29,0.00,0.29,0.29,0.29,4.3,4.3,0.3,0.41,0.02,0.44,0.41,0.44,Matches
441,Oihan Sancet\Oihan-Sancet,es ESP,MFFW,Athletic Club,20-278,2000,13,1,266,3.0,1,0,0,0,0,0,0.34,0.00,0.34,0.34,0.34,0.5,0.5,0.4,0.16,0.15,0.31,0.16,0.31,Matches
442,Juan Sánchez Miño\Juan-Sanchez-Mino,ar ARG,DFMF,Elche,31-027,1990,9,5,495,5.5,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
443,Germán Sánchez\German-Sanchez,es ESP,DF,Granada,34-089,1986,18,15,1371,15.2,2,1,0,0,7,0,0.13,0.07,0.20,0.13,0.20,1.0,1.0,0.1,0.07,0.00,0.07,0.07,0.07,Matches
444,Javi Sánchez\Javi-Sanchez,es ESP,DF,Valladolid,23-320,1997,11,6,574,6.4,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
445,José Sánchez\Jose-Sanchez,es ESP,DF,Granada,20-332,2000,2,2,163,1.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
446,Manuel Sánchez\Manuel-Sanchez,es ESP,DFMF,Osasuna,20-157,2000,2,1,61,0.7,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.08,0.13,0.21,0.08,0.21,Matches
447,Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Atlético Madrid,20-157,2000,1,1,49,0.5,0,1,0,0,0,0,0.00,1.84,1.84,0.00,1.84,0.0,0.0,0.3,0.00,0.61,0.61,0.00,0.61,Matches
448,Oier Sanjurjo\Oier-Sanjurjo,es ESP,MF,Osasuna,34-248,1986,19,15,1399,15.5,0,2,0,0,6,0,0.00,0.13,0.13,0.00,0.13,0.5,0.5,1.2,0.03,0.08,0.11,0.03,0.11,Matches
449,Stefan Savić\Stefan-Savic,me MNE,DF,Atlético Madrid,30-020,1991,16,16,1440,16.0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.01,0.01,0.02,0.01,0.02,Matches
450,Jaime Seoane\Jaime-Seoane,es ESP,MF,Huesca,24-006,1997,13,8,750,8.3,1,0,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.8,0.8,0.5,0.09,0.06,0.15,0.09,0.15,Matches
451,Edgar Sevikyan\Edgar-Sevikyan,ru RUS,MF,Levante,19-173,2001,1,0,8,0.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
452,Sidnei\Sidnei,br BRA,DF,Betis,31-158,1989,7,5,459,5.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.03,0.00,0.03,0.03,0.03,Matches
453,David Silva\David-Silva,es ESP,MF,Real Sociedad,35-020,1986,11,9,766,8.5,1,2,0,0,4,0,0.12,0.23,0.35,0.12,0.35,0.8,0.8,1.6,0.09,0.19,0.28,0.09,0.28,Matches
454,Gastón Silva\Gaston-Silva,uy URU,DF,Huesca,26-329,1994,5,2,219,2.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
455,Rui Silva\Rui-Silva,pt POR,GK,Granada,26-356,1994,19,19,1710,19.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
456,Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,23-231,1997,19,19,1710,19.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
457,Dimitris Siovas\Dimitris-Siovas,gr GRE,DF,Huesca,32-134,1988,19,19,1710,19.0,1,0,0,0,2,0,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.0,0.04,0.00,0.04,0.04,0.04,Matches
458,Rafa Soares\Rafa-Soares,pt POR,DF,Eibar,25-264,1995,8,6,530,5.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.03,0.03,0.01,0.03,Matches
459,Rubén Sobrino\Ruben-Sobrino,es ESP,MFFW,Valencia,28-241,1992,5,0,49,0.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches
460,Roberto Soldado\Roberto-Soldado,es ESP,FW,Granada,35-246,1985,17,11,912,10.1,4,0,1,1,3,0,0.39,0.00,0.39,0.30,0.30,2.8,2.1,0.5,0.28,0.05,0.33,0.20,0.26,Matches
461,Carlos Soler\Carlos-Soler,es ESP,MF,Valencia,24-026,1997,16,15,1360,15.1,6,4,5,5,3,0,0.40,0.26,0.66,0.07,0.33,4.4,0.6,2.4,0.29,0.16,0.45,0.04,0.20,Matches
462,Son\Son,es ESP,DFMF,Levante,26-304,1994,14,5,562,6.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.01,0.06,0.07,0.01,0.07,Matches
463,David Soria\David-Soria,es ESP,GK,Getafe,27-299,1993,12,12,1080,12.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
464,Alberto Soro\Alberto-Soro,es ESP,FWMF,Granada,21-325,1999,9,0,174,1.9,0,1,0,0,0,0,0.00,0.52,0.52,0.00,0.52,0.0,0.0,0.2,0.00,0.08,0.08,0.00,0.08,Matches
465,Damián Suárez\Damian-Suarez,uy URU,DF,Getafe,32-276,1988,15,15,1323,14.7,1,0,0,0,9,1,0.07,0.00,0.07,0.07,0.07,0.2,0.2,0.2,0.01,0.01,0.03,0.01,0.03,Matches
466,Denis Suárez\Denis-Suarez,es ESP,MF,Celta Vigo,27-022,1994,18,17,1423,15.8,0,3,0,0,5,0,0.00,0.19,0.19,0.00,0.19,0.6,0.6,2.4,0.04,0.15,0.19,0.04,0.19,Matches
467,Luis Suárez\Luis-Suarez,uy URU,FW,Atlético Madrid,34-004,1987,15,14,1097,12.2,12,2,1,1,3,0,0.98,0.16,1.15,0.90,1.07,7.3,6.6,1.4,0.60,0.11,0.72,0.54,0.65,Matches
468,Suso\Suso,es ESP,FW,Sevilla,27-070,1993,15,12,962,10.7,3,1,0,0,1,0,0.28,0.09,0.37,0.28,0.37,1.3,1.3,1.3,0.12,0.12,0.24,0.12,0.24,Matches
469,Tachi\Tachi,es ESP,DFFW,Alavés,23-140,1997,4,1,199,2.2,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.07,0.10,0.03,0.10,Matches
470,Renato Tapia\Renato-Tapia,pe PER,MF,Celta Vigo,25-184,1995,19,19,1593,17.7,0,1,0,0,7,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,0.4,0.03,0.02,0.05,0.03,0.05,Matches
471,Tomás Tavares\Tomas-Tavares,pt POR,MFDF,Alavés,19-327,2001,3,0,65,0.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
472,Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,24-192,1996,2,1,110,1.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.16,0.18,0.03,0.18,Matches
473,Cristian Tello\Cristian-Tello,es ESP,FWMF,Betis,29-170,1991,16,8,757,8.4,4,2,0,0,0,0,0.48,0.24,0.71,0.48,0.71,1.7,1.7,1.5,0.20,0.18,0.39,0.20,0.39,Matches
474,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,28-273,1992,13,13,1170,13.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
475,David Timor\David-Timor,es ESP,MF,Getafe,31-103,1989,16,6,576,6.4,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,0.04,0.10,0.14,0.04,0.14,Matches
476,Toño\Tono,es ESP,DF,Levante,31-082,1989,4,3,247,2.7,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
477,Lucas Torreira\Lucas-Torreira,uy URU,MFFW,Atlético Madrid,24-352,1996,9,2,264,2.9,1,0,0,0,0,0,0.34,0.00,0.34,0.34,0.34,0.2,0.2,0.5,0.07,0.18,0.25,0.07,0.25,Matches
478,Óliver Torres\Oliver-Torres,es ESP,MFFW,Sevilla,26-079,1994,16,8,718,8.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,0.05,0.08,0.13,0.05,0.13,Matches
479,Pau Torres\Pau-Torres,es ESP,DF,Villarreal,24-012,1997,20,20,1800,20.0,2,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10,1.1,1.1,0.3,0.05,0.01,0.07,0.05,0.07,Matches
480,Roberto Torres\Roberto-Torres,es ESP,MF,Osasuna,31-327,1989,18,12,1084,12.0,4,1,1,1,0,0,0.33,0.08,0.42,0.25,0.33,2.5,1.8,0.7,0.21,0.06,0.27,0.15,0.21,Matches
481,Lucas Torró\Lucas-Torro,es ESP,MF,Osasuna,26-193,1994,9,4,403,4.5,0,1,0,0,2,0,0.00,0.22,0.22,0.00,0.22,0.5,0.5,0.5,0.10,0.12,0.23,0.10,0.23,Matches
482,Manu Trigueros\Manu-Trigueros,es ESP,MF,Villarreal,29-103,1991,19,17,1386,15.4,1,4,0,0,4,0,0.06,0.26,0.32,0.06,0.32,1.3,1.3,1.7,0.08,0.11,0.19,0.08,0.19,Matches
483,Francisco Trincão\Francisco-Trincao,pt POR,FWMF,Barcelona,21-030,1999,16,0,329,3.7,0,1,0,0,1,0,0.00,0.27,0.27,0.00,0.27,1.4,1.4,0.3,0.39,0.07,0.46,0.39,0.46,Matches
484,Kieran Trippier\Kieran-Trippier,eng ENG,DF,Atlético Madrid,30-131,1990,14,14,1260,14.0,0,5,0,0,0,0,0.00,0.36,0.36,0.00,0.36,0.0,0.0,1.7,0.00,0.12,0.12,0.00,0.12,Matches
485,Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,Barcelona,27-075,1993,4,2,202,2.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
486,Enes Ünal\Enes-Unal,tr TUR,FW,Getafe,23-263,1997,13,4,431,4.8,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.4,0.16,0.09,0.25,0.16,0.25,Matches
487,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,31-305,1989,3,3,270,3.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
488,Eugeni Valderrama\Eugeni-Valderrama,es ESP,FWMF,Huesca,26-193,1994,3,1,115,1.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.06,0.06,0.00,0.06,Matches
489,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Granada,24-023,1997,13,9,831,9.2,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
490,Manu Vallejo\Manu-Vallejo,es ESP,FW,Valencia,23-349,1997,17,5,584,6.5,4,0,0,0,0,0,0.62,0.00,0.62,0.62,0.62,3.3,3.3,0.1,0.51,0.01,0.52,0.51,0.52,Matches
491,Federico Valverde\Federico-Valverde,uy URU,MF,Real Madrid,22-190,1998,15,8,742,8.2,3,1,0,0,0,0,0.36,0.12,0.49,0.36,0.49,1.5,1.5,2.4,0.18,0.29,0.46,0.18,0.46,Matches
492,Raphaël Varane\Raphael-Varane,fr FRA,DF,Real Madrid,27-278,1993,18,18,1620,18.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.04,0.00,0.04,0.04,0.04,Matches
493,Franco Vázquez\Franco-Vazquez,ar ARG,FWMF,Sevilla,31-341,1989,7,0,55,0.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.08,0.00,0.08,0.08,0.08,Matches
494,Lucas Vázquez\Lucas-Vazquez,es ESP,FWDF,Real Madrid,29-211,1991,16,14,1203,13.4,2,2,0,0,2,0,0.15,0.15,0.30,0.15,0.30,1.6,1.6,2.4,0.12,0.18,0.30,0.12,0.30,Matches
495,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,25-123,1995,1,1,90,1.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
496,Gabriel Veiga\Gabriel-Veiga,es ESP,MFDF,Celta Vigo,18-246,2002,5,1,113,1.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
497,Unai Vencedor Paris\Unai-Vencedor-Paris,es ESP,MF,Athletic Club,20-074,2000,12,9,741,8.2,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,Matches
498,Gonzalo Verdú\Gonzalo-Verdu,es ESP,DF,Elche,32-099,1988,18,18,1620,18.0,0,1,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.4,0.01,0.02,0.03,0.01,0.03,Matches
499,Mikel Vesga\Mikel-Vesga,es ESP,MF,Athletic Club,27-252,1993,15,10,868,9.6,0,1,0,0,4,0,0.00,0.10,0.10,0.00,0.10,1.0,1.0,0.1,0.10,0.01,0.11,0.10,0.11,Matches
500,Rúben Vezo\Ruben-Vezo,pt POR,DF,Levante,26-278,1994,15,13,1202,13.4,1,0,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.3,0.3,0.1,0.02,0.01,0.03,0.02,0.03,Matches
501,Iñigo Vicente\Inigo-Vicente,es ESP,FW,Athletic Club,23-022,1998,2,0,33,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.10,0.56,0.65,0.10,0.65,Matches
502,Fede Vico\Fede-Vico,es ESP,FWMF,Granada,26-208,1994,5,1,124,1.4,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
503,Aleix Vidal\Aleix-Vidal,es ESP,DF,Sevilla,31-160,1989,7,2,265,2.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
504,Nacho Vidal\Nacho-Vidal,es ESP,DFMF,Osasuna,26-004,1995,18,10,1006,11.2,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.03,0.06,0.09,0.03,0.09,Matches
505,Toni Villa\Toni-Villa,es ESP,MFFW,Valladolid,26-021,1995,15,7,675,7.5,1,0,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.7,0.7,0.8,0.10,0.10,0.20,0.10,0.20,Matches
506,Asier Villalibre\Asier-Villalibre,es ESP,FW,Athletic Club,23-120,1997,17,6,706,7.8,2,1,0,0,1,0,0.25,0.13,0.38,0.25,0.38,2.4,2.4,1.0,0.31,0.13,0.44,0.31,0.44,Matches
507,Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,23-203,1997,7,7,630,7.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
508,Vitolo\Vitolo,es ESP,MFDF,Atlético Madrid,31-087,1989,6,3,227,2.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.17,0.05,0.22,0.17,0.22,Matches
509,Šime Vrsaljko\Sime-Vrsaljko,hr CRO,DF,Atlético Madrid,29-018,1992,4,4,281,3.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
510,Nikola Vukčević\Nikola-Vukcevic,me MNE,MF,Levante,29-046,1991,8,7,521,5.8,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.02,0.03,0.06,0.02,0.06,Matches
511,Daniel Wass\Daniel-Wass,dk DEN,DFMF,Valencia,31-242,1989,19,19,1654,18.4,1,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,0.7,0.7,1.4,0.04,0.08,0.11,0.04,0.11,Matches
512,Shon Weissman\Shon-Weissman,il ISR,FW,Valladolid,24-349,1996,16,11,981,10.9,3,0,0,0,1,0,0.28,0.00,0.28,0.28,0.28,2.3,2.3,0.1,0.21,0.01,0.22,0.21,0.22,Matches
513,Iñaki Williams\Inaki-Williams,es ESP,FWMF,Athletic Club,26-227,1994,19,18,1447,16.1,4,3,1,1,1,0,0.25,0.19,0.44,0.19,0.37,4.1,3.3,2.3,0.25,0.15,0.40,0.21,0.35,Matches
514,Jawad El Yamiq\Jawad-El-Yamiq,ma MAR,DF,Valladolid,28-334,1992,9,6,563,6.3,0,1,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
515,Rubén Yáñez\Ruben-Yanez,es ESP,GK,Getafe,27-108,1993,7,7,630,7.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
516,Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,Celta Vigo,26-325,1994,12,3,462,5.1,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.08,0.05,0.14,0.08,0.14,Matches
517,Joseba Zaldúa\Joseba-Zaldua,es ESP,DF,Real Sociedad,28-218,1992,6,3,326,3.6,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.01,0.09,0.11,0.01,0.11,Matches
518,Oier Zarraga\Oier-Zarraga,es ESP,MF,Athletic Club,22-024,1999,4,1,93,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.09,0.05,0.14,0.09,0.14,Matches
519,Igor Zubeldia\Igor-Zubeldia,es ESP,DF,Real Sociedad,23-304,1997,13,11,1053,11.7,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.5,0.06,0.04,0.10,0.06,0.10,Matches
520,Martín Zubimendi\Martin-Zubimendi,es ESP,MF,Real Sociedad,21-361,1999,18,8,898,10.0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
521,Martin Ødegaard\Martin-Odegaard,no NOR,MFFW,Real Madrid,22-042,1998,7,3,234,2.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.04,0.15,0.19,0.04,0.19,Matches